company,brand_name,country,product_category,contact_name,email_address,address,license_number,pdf,certification_body,expiry_date,product_details
Alpha Textile Free Zone,,Egypt (EG),"Babywear, Children's wear, Ladieswear, Men's wear",Mehmet Dal,mailto:mehmetd@gamateks.com,"Public Free zone, block# 800, Alexandria, Egypt",CB-GOTS-CUC-03- 1052404,,Control Union Certifications,4/12/2024,Babies' apparel (PC0003)Children's apparel (PC0004)Men's apparel (PC0001)Product categories: Women's apparel (PC0002)
Alpin Corap San.ve Tic. A.S.,,Turkey (TR),Socks,Duygu Dursun Pancaroglu,mailto:isg@alpincorap.com.tr,Bakir ve Pirinc Sanayicileri Sitesi Mustafa Kurtoglu Cad. No: 18 Beylikduzu,CU 815206,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/1762?task=download_certificate,Control Union Certifications,8/8/2024,"Socks - 100% Organic Cotton  
Socks - 75% Organic Cotton + 22% Polyamide + 3% Elastane  
Socks - 95% Organic Cotton + 5% Elastane"
ALPINE EXPO TEX (P) LTD,,"India (IN), Delhi",Fabrics,,,"C-102, Okhla Industrial Area, Phase-1, 110020, New Delhi",EGL/158063/GOTS,,Ecocert Greenlife,6/30/2024,"Dyed fabrics (PC0025) - Knitted Fabric (PD0058) - 100% organic cotton (RM0104)
Dyed fabrics (PC0025) - Woven fabrics (PD0059) - 100% organic cotton (RM0104)
Greige fabrics (PC0026) - Woven fabrics (PD0059) - 100% organic cotton (RM0104)
Printed fabrics (PC0039) - Woven fabrics (PD0059) - 100% organic cotton (RM0104)"
Alpine Knits India Pvt Ltd,,"India (IN), Tamil Nadu","Fabrics, Yarns",Thirumaran K,,"SF.No.161,162, 166,167, Puliappampalayam Road, Chittambalam Village,Venkatapuram Post,, Palladam (TK),, 641664, Tirupur",GCL-300444,,GCL International,1/25/2025,"Greige Yarns (PC0030) [Carded Yarns (PD0067) 100% Organic cotton (RM0104)] 
Greige Yarns (PC0030) [Normally Combed Yarns (PD0102) 100% Organic Cotton (RM0104)] 
Greige fabrics (PC0026) [Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104)] 
Greige fabrics (PC0026) [Knitted Fabrics (PD0058) 94% Organic Cotton (RM0104) + 6% Viscose (rayon) (RM0238)] 
Greige fabrics (PC0026) [Knitted Fabrics (PD0058) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)]"
Alps Apparels Ltd.,,"Bangladesh (BD), Dhaka","Accessories, Babywear, Ladieswear, Children's wear, Men's wear, Product category (other)",,,"Uttar Jaharchanda, Ashulia, Savar 1341 Dhaka (BD-C) / Bangladesh (BD), 1341, Savar",53606,,CCPB Certificazione e Controllo Prodotti Biologici ltd,4/28/2024,"Babies' clothing (PD0013)Babies` apparel (PC0003)

Product details: PantsChildren`s apparel (PC0004)FrogeHatsJumpsuitLadies SkirtLeggingsMen`s apparel (PC0001)Other [ (Polo shirtOverall. Knitted Dress)] (PD0100)PajamaProduct categories: Worn accessories (PC0012)RomperSweat shirtT-shirtsTank topWomen`s apparel (PC0002)capshead coverings (PD0030)singlets (PD0007)trousers (PD0003)"
"Alroubaia Fourtex Textiles Co, S.A.E",,Egypt (EG),"Fabrics, Yarns",,mailto:ahmed.h@sharabati-denim.com,"3rd industrial Zone extension ,Al-Sadat City , Egypt",CB-GOTS-CUC-03- 856255,,Control Union Certifications,1/22/2025,Product categories: Dyed fabrics (PC0025)Undyed fabrics (PC0027)Undyed yarns (PC0031)
Alsar Orme Tekstil San. Ve Tic. Ltd. Sti.,,Turkey (TR),"Fabrics, Yarns",Hamit Sahin,mailto:alsar@alsarorme.com,"Akcaburgaz Mah. 3090. Sk. No: 4 Esenyurt, 34522, Istanbul",CU 1032888,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/29385?task=download_certificate,Control Union Certifications,3/27/2024,Dyed fabrics (PC0025)Dyed yarns (PC0029)Greige fabrics (PC0026)Greige yarns (PC0030)
Alt&Shirazi Gbr,Mademoiselle YéYé,Germany (DE),Ladieswear,Kai Alt,mailto:Kai.alt@yeyeye.de,"Ehmannstr. 80-82, 70191, Stuttgart",BCS 36029,,BCS,2/28/2024,CardigansJacketsJumpsuitsPulloversSinglets - Organic cotton/Elastane - Made with organicSinglets - Organic cotton/Elastane - OrganicT-shirtsT-shirtsT-shirts - Organic cotton - OrganicTrousersWomen's apparel - DressesWomen's apparel - DressesWomen's apparel - Sweaters
ALTAIR TEKSTIL GIYIM VE SAN. DIS. TIC. LTD. STI.,,Turkey (TR),Ladieswear,,,"Yenibosna Merkez Mahallesi Ali Duran Sokak No :3 Bahcelievler, 34360, Istanbul",USB 005338,,USB Certification,12/14/2024,T-shirtssinglets (PD0007) - 100% organic cotton (RM0104)
Alteks Konfeksiyon Iml. Ihr. Ve Tic. A.S.,,Turkey (TR),Garments,Abdullah Alicioglu,mailto:abdullah@alteks.com.tr,"Akcaburgaz Mh. Ugur Mumcu Cd. No: 47, 34522, Istanbul",CU 1047857,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/30596?task=download_certificate,Control Union Certifications,9/30/2024,Garments
ALTERA TEKSTIL VE AMBALAJ SANAYI TICARET LIMITED SIRKETI,,Turkey (TR),Yarns,,,"Turgut Ozal Mahallesi 48 Sokak No: 4/A Ic Kapi No:1, Sehzadeler, 45050, Manisa",USB TEX3502,,USB Certification,4/18/2024,"Carded yarns (PD0067) - (in Roving Form) - 100% organic cotton (RM0104)
Semi Combed Yarns (PD0101) - 94% organic cotton (RM0104) + 6% elastane (spandex) (RM0160)
Super combed yarns (PD0068) - 100% organic cotton (RM0104)
Carded yarns (PD0067) - 100% organic cotton (RM0104)
Normally Combed Yarns (PD0102) - 100% organic cotton (RM0104)
Normally Combed Yarns (PD0102) - 94% organic cotton (RM0104) + 6% elastane (spandex) (RM0160)
Normally Combed Yarns (PD0102) - 93% organic cotton (RM0104) + 7% elastane (spandex) (RM0160)
Normally Combed Yarns (PD0102) - 90% organic cotton (RM0104) + 10% elastane (spandex) (RM0160)"
Alterfab INC,,"Canada (CA), Ontario","Fabrics, Accessories",Mr. Aamir Malkani,mailto:aamir@alterfab.com,"6439, Chelsea Road,, L7P0M8, Burlington",CU 866793,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/28127?task=download_certificate,Control Union Certifications,2/6/2024,"Carried accessories(PC0011)Bagshandbagshandbagspouches (PD0024) -100.0%Organic Cotton (RM0104)
Carried accessories(PC0011)Bagspouches (PD0024) -100.0%Organic Cotton (RM0104)
Dyed fabrics (PC0025) Knitted fabrics (PD0058) -100.0%Organic Cotton (RM0104)
Dyed fabrics (PC0025) Knitted fabrics (PD0058) -100.0%Organic Cotton (RM0104)
Greige fabrics (PC0026) Knitted fabrics (PD0058) -100.0%Organic Cotton (RM0104)totestotes"
Alterosac,,Belgium (BE),"Accessories, Home Textiles, Hygiene products",Florence HERICKX,mailto:info@alterosac.com,"223, rue de la Jonchère, 74420, BOEGE",232616,,Ecocert Greenlife,6/30/2024,"Babies' accessories (PD0014)
Table linenhandbagskitchen linennapkin (PD0016)
Towelspouches (PD0024)
Handkerchiefs (PD0029) 
Topical products (PD0032)table clothtoilet linen (PD0017)
Food contact textiles (PD0018)
Bagstotes"
Altinbasak Tekstil San ve Tic.A.s.,,Turkey (TR),"Fabrics, Home Textiles",,,Organize Sanayi. Bolgesi. 1. Kisim Turan Bahadir Caddesi No:17 Honaz,ETKO 00004251,,ETKO Ekolojik Tarim Kontrol Organizasyonu Ltd Sti,9/27/2024,Knitted fabrics (PD0058)Woven fabrics (PD0059)Towelsbedspreadskitchen linenquilts (PD0019)Bathrobe (PD0100)toilet linen (PD0017)Blankets
ALTINTRANSFER DIJITAL BASKI VE KUMASCILIK ITHALAT IHRACAT SANAYI TICARET LIMITED SIRKETI,,Turkey (TR),Fabrics,Onur Turkoglu,,"AOSB Mah. 10016 Sk. No: 10,Cigli,, 35620, Izmir,",GCL-302457,,GCL International,7/9/2024,"Printed fabrics (PC0039) [Knitted fabrics (Cut panels) (PD0058) 100% Organic Cotton (RM0104)] 
Printed fabrics (PC0039) [Woven fabrics (Cut panels) (PD0059) 100% Organic Cotton (RM0104)]"
ALTOTEKS TEKSTIL GIYIM BOYA APRE SANAYI VE TICARET ANONIM SIRKETI CORLU SUBESI,,Turkey (TR),Fabrics,,,"Vakiflar Osb Mahallesi D100 Cad. No: 31 /1, Ergene, 59930, Tekirdag",USB 002292,,USB Certification,7/13/2024,"Woven fabrics (PD0059) - 100% organic cotton (RM0104)
Woven fabrics (PD0059) - 98% organic cotton (RM0104) + 2% elastane (RM0160)
Woven fabrics (PD0059) - 97% organic cotton (RM0104) + 3% elastane (RM0160)
Woven fabrics (PD0059) - 96.5% organic cotton (RM0104) + 3.5% elastane (RM0160)
Woven fabrics (PD0059) - 96% organic cotton (RM0104) + 4% elastane (RM0160)
Woven fabrics (PD0059) - 95% organic cotton (RM0104) + 5% elastane (RM0160)
Woven fabrics (PD0059) - 90% organic cotton (RM0104) + 10% elastane (RM0160)
Woven fabrics (PD0059) - 75% organic cotton (RM0104) + 25% flax (linen) (RM0108)
Knitted fabrics (PD0058) - 90% organic cotton (RM0104) + 10% elastane (RM0160)
Woven fabrics (PD0059) - 70% organic cotton (RM0104) + 30% recycled pre/post-consumer polyester (RM0187)
Woven fabrics (PD0059) - 99% organic cotton (RM0104) + 1% elastane (RM0160)
Woven fabrics (PD0059) - 71% organic cotton (RM0104) + 29% recycled pre/post-consumer polyester (RM0187)
Woven fabrics (PD0059) - 100% organic flax (linen) (RM0110)
Woven fabrics (PD0059) - 99% organic cotton (RM0104) + 1% elastane (spandex) (RM0160)
Woven fabrics (PD0059) - 97% organic cotton (RM0104) + 3% elastane (spandex) (RM0160)"
ALTRAQUALITA’ soc. coop. r. l.,,Italy (IT),"Babywear, Children's wear, Garments, Ladieswear, Men's wear",,,"Via Toscanini 11/A, 44124, Ferrara",ICEA-TX-303,,ICEA Istituto per la Certificazione Etica e Ambientale,2/11/2024,"Babies' apparel (PC0003)Children's apparel (PC0004)Children's apparel (PC0004)Men's apparel
(PC0001)Unisex apparel (PC0005)Women's apparel (PC0002)"
Altunlar Orme Kumas Ve Tekstil Ins. San. Ve Dis Tic. Ltd. Sti.,,Turkey (TR),Fabrics,Zekeriya Altun,mailto:info@altunlarorme.com.tr,"Sururi Mh. Rastikci Sk. No: 3/1 Fatih, 34110, Istanbul",CU 1159008,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/37238?task=download_certificate,Control Union Certifications,4/3/2024,Fabrics
ALTUTEX INTERNATIONAL,,Tunisia (TN),Garments,Mayssa CHABBOUH,mailto:cert@altutex.tn,"RUE MANZEL KEMIL, 8070, KORBA",281831,,Ecocert Greenlife,1/4/2025,Pantstrousers (PD0003)
ALV GROUP SRL,,Italy (IT),"Accessories, Product category (other)",,,"Corso Leonardo da Vinci, 48 Gallarate 21013 Lombardia (IT-25), Italy (IT), 21013, Gallarate (MI)",53672,,CCPB Certificazione e Controllo Prodotti Biologici ltd,8/3/2024,"Product categories: Functional accessories (PC0017)
Product details: Other [shoelace] (PD0100)"
Alva Linen AB,,Sweden (SE),Home Textiles,,,"Erik Dahlbergsgatan 14, 41124, Göteborg",1085091,,Control Union Certifications,2/7/2025,"Bedding Bed linenbed sheets  - 100.0% Organic Cotton 
Bedding Bed linenbed sheets - 1.0% Recycled Pre/Post Consumer Polyester + 99.0% Organic Cotton
Home textiles Towelskitchen linentoilet linen 100.0% Organic Cotton"
Alvi GmbH,,Germany (DE),Home Textiles,Nahrin Aram,mailto:n.aram@alvi.de,"Pfennigbreite 44, 37671, Höxter",234360,,Ecocert Greenlife,9/13/2024,"10% recycled polyester (RM0187)20% recycled polyester (RM0187)
Babies apparel (PC0003) Babies' clothing (PD0014) 100% organic cotton (RM0104)20% recycled polyester (RM0187)
Worn accessories (PC0012) Scarves20% recycled polyester (RM0187) 
Toys (PC0024) Soft toys (PD0056) Cover: 100% organic cotton (RM0104)70% organic cotton (RM0104) 30% recycled polyester (RM0187)75% organic cotton (RM0104) 15% organic hemp (RM0116) 10% recylced polyester
(RM0187)
Other (PC0038) Other (PD0100) 100% organic cotton (RM0104)80% organic cotton (RM0104)80% organic cotton (RM0104)90% organic cottonBed linenFilling: 80% organic cotton (RM0104)Home textiles (PC0010) Blankets (PD0019)Sleeping bags (PD0044) 100% organic cotton (RM0104) 70% organic cotton (RM0104) 30% recycled polyester (RM0187)bed sheets (PD0015)shawlsveils (PD0028) 100% organic cotton (RM0104)
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 100% organic cotton (RM0104)"
ALVOTEKS TEKSTIL SANAYI VE TICARET ANONIM SIRKETI,,Turkey (TR),Children's wear,,,"Cumhuriyet Mah. Uysal 1 Sk. D Blok Sahinler Holding No: 2 Ic Kapi No: 24, Buyukcekmece, 34500, Istanbul",USB TEX6906,,USB Certification,6/7/2024,Activewearsportswear (PD0008) - 95% organic cotton (RM0104) + 5% elastane (RM0160)
Aman Cotton Fibrous Ltd.,,"Bangladesh (BD), Dhaka",Yarns,K.M Ziaul Monir,,"Boiragirchala,Sreepur,, 1740, Gazipur,",GCL-302416,,GCL International,4/24/2024,"Greige Yarns (PC0030) [Carded Yarns (PD0067) 100% Organic cotton (RM0104)]
Greige Yarns (PC0030) [Normally Combed Yarns (PD0102) 100% Organic Cotton (RM0104)x]"
Aman Knittings Ltd,,"Bangladesh (BD), Dhaka","Babywear, Garments, Ladieswear, Men's wear, Accessories, Home Textiles",,,"Kulasur, Hemayetpur, Savar, 1340, Dhaka",CERES-0477,,Ceres,8/15/2024,Babies' accessories (PD0014)Babies' clothing (PD0013)BedspreadsBlanketsCapsCardigans (PD0004)DressesGloves (PD0026)HatsHead coverings (PD0030)Jackets (PD0001)OvercoatsPantsPulloversQuilts (PD0019)Shoes (PD0035)Skirts (PD0011)Sleepwear (PD0006)SweatersTrousers (PD0002)
Aman Spinning Mills Ltd.,,"Bangladesh (BD), Dhaka",Yarns,,,"Zirabo, Ashulia, Savar,",CB-GOTS-CUC-03- 819992,,Control Union Certifications,10/28/2024,Dyed yarns (PC0029) / Carded yarns (PD0067) - 2.0% Viscose (rayon) (RM0238) + 98.0% Organic Cotton (RM0104)Dyed yarns (PC0029) / Carded yarns (PD0067) - 4.0% Viscose (rayon) (RM0238) + 96.0% Organic Cotton (RM0104)Dyed yarns (PC0029) / Carded yarns (PD0067) - 7.0% Viscose (rayon) (RM0238) + 93.0% Organic Cotton (RM0104)Dyed yarns (PC0029) / Carded yarns (PD0067) - 90.0% In Conversion Cotton (RM0103) + 10.0% Viscose (rayon) (RM0238)Dyed yarns (PC0029) / Carded yarns (PD0067) - 95.0% In Conversion Cotton (RM0103) + 5.0% Viscose (rayon) (RM0238)Dyed yarns (PC0029) / Carded yarns (PD0067) - 98.0% In Conversion Cotton (RM0103) + 2.0% Viscose (rayon) (RM0238)Dyed yarns (PC0029) / Carded yarns (PD0067) - 99.0% In Conversion Cotton (RM0103) + 1.0% Viscose (rayon) (RM0238)Greige yarns (PC0030) / Carded yarns (PD0067) - 1.0% Polyester (RM0186) + 99.0% Organic Cotton (RM0104)Greige yarns (PC0030) / Carded yarns (PD0067) - 10.0% Viscose (rayon) (RM0238) + 90.0% Organic Cotton (RM0104)Greige yarns (PC0030) / Carded yarns (PD0067) - 100.0% In Conversion Cotton (RM0103)Greige yarns (PC0030) / Carded yarns (PD0067) - 100.0% Organic Cotton (RM0104)Greige yarns (PC0030) / Carded yarns (PD0067) - 70% Organic Cotton (RM0104) + 30% Flax (Linen) (RM0108)Greige yarns (PC0030) / Carded yarns (PD0067) - 70.0% In Conversion Cotton (RM0103) + 30.0% Recycled post-consumer Polyester (RM0189)Greige yarns (PC0030) / Carded yarns (PD0067) - 85.0% Organic Cotton (RM0104) + 15.0% Flax (Linen) (RM0108)Greige yarns (PC0030) / Carded yarns (PD0067) - 90.0% Organic Cotton (RM0104) + 10.0% Lyocell (RM0226)Greige yarns (PC0030) / Carded yarns (PD0067) - 96.0% Organic Cotton (RM0104) + 1.0% Recycled pre/post-consumer Polyester (RM0187) + 3.0% Viscose (rayon) (RM0238)Greige yarns (PC0030) / Normally combed yarns (PD0102) - 10.0% Modal (RM0230) + 90.0% Organic Cotton (RM0104)
Aman Tex Ltd.,,"Bangladesh (BD), Dhaka","Ladieswear, Children's wear, Fabrics, Men's wear, Technical Textiles",Rakebul Islam,,"Boiragirchala,, Gazipur,, 1740, Sreepur,",GCL-301318,,GCL International,10/17/2024,"Men's Apparel (PC0001) T shirtsblouses (PD0005) 100% In-Conversion Cotton (RM0103)
Children's Apparel (PC0004) Shirtsblouses (PD0005) 100% In-Conversion Cotton (RM0103)
Men's Apparel (PC0001) Shirtsblouses (PD0005) 100% In-Conversion Cotton (RM0103)
Printed fabrics (PC0039) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104)
Men's Apparel (PC0001) T shirtsblouses (PD0005) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Dressesblouses (PD0005) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Shirtsblouses (PD0005) 94% Organic Cotton (RM0104) + 6% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Shirtsblouses (PD0005) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Shirtscardigans (PD0004) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) T shirtspulloverssinglets (PD0007) 100% In-Conversion Cotton (RM0103)singlets (PD0007) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) T shirtssinglets (PD0007) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Dressessinglets (PD0007) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Shirtssinglets (PD0007) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) Pantssinglets (PD0007) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Men's Apparel (PC0001) Shirtsskirts (PD0011) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Pantsskirts (PD0011) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 100% Organic Cotton (RM0104)
Men's Apparel (PC0001) T shirtstrousers (PD0003) 100% Organic Cotton (RM0104) 
Children's Apparel (PC0004) T shirtstrousers (PD0003) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Pantstrousers (PD0003) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) 
Women's Apparel (PC0002) Sweaterstrousers(PD0003) 94% Organic Cotton (RM0104) + 6% Elastane (Spandex) (RM0160)
Children's Apparel (PC0004) Pants"
Amanat Shah Fabrics Ltd,,"Bangladesh (BD), Dhaka",Fabrics,,,"Panchdona, Vatpara, 1603, Narshingdi",CERES-0595,,Ceres,11/15/2024,Woven fabrics (PD0059)
Amar Ginning Factory,,"India (IN), Gujarat",Raw Fibres,,mailto:organic.sramcorporation@gmail.com,"Sr. No .258, Kadi-Thol Road, Pirojpur, Kadi, Mehsana, 382715",17231,,IDFL,8/1/2024,"Undyed Fibers (PC0034) Lint Cotton (PD0074) Organic Cotton (RM0104) GOTS
(Organic)
58921
Undyed Fibers (PC0034) Lint Cotton (PD0074) In-Conversion Cotton (RM0103) GOTS (Organic
in Conversion)
58921"
Amar International,,"India (IN), Maharashtra",Yarns,,,"Amar House, 14/16, Mumbai Marathi Grantha Sangrahalaya Marg, Dadar East, 400014, Mumbai,",229894,,Intertek Testing Services,9/21/2024,Greige yarns | PC0030
AMARAVATHI GARMENTS MFG. CO.,,"India (IN), Tamil Nadu","Babywear, Children's wear, Fabrics, Ladieswear, Men's wear, Yarns, Accessories",P. T. Parveen,mailto:clothingbay@amaravathi.com,"No 18, Pkg Building , 4th Cross Street, Trustpuram, Kodambakkam, 600024, Chennai - Tamil Nadu",ICEA-TX-928,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27957?task=download_certificate,ICEA Istituto per la Certificazione Etica e Ambientale,10/2/2024,"Babies' apparel (PC0003)Carried accessories (PC0011)Children's apparel (PC0004)Children's apparel (PC0004)Greige
yarns (PC0030)Men's apparel
(PC0001)Printed Fabrics (PC0039)Women's apparel (PC0002)"
Amaravathi Textiles,,"India (IN), Tamil Nadu","Fabrics, Garments, Yarns, Accessories, Home Textiles, Product category (other)",Mr. Sivakkannan M,mailto:amaravathi@amaravathi.net,"9D/5, Ramakrishnapuram, 639001, Karur",CU 1006376,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27444?task=download_certificate,Control Union Certifications,5/2/2024,"Dyed fabrics (PC0025) Woven fabrics (PD0059) -100.0%Organic Cotton (RM0104)
Dyed yarns (PC0029) Open-end yarns (PD0066) -100.0%Organic Cotton (RM0104)
Greige fabrics (PC0026) Woven fabrics (PD0059) -100.0%Organic Cotton (RM0104)
Greige yarns (PC0030) Carded yarns (PD0067) -100.0%Organic Cotton (RM0104) 
Greige yarns (PC0030) Open-end yarns (PD0066) -100.0%Organic Cotton (RM0104)
Home textiles (PC0010) Table linennapkins (PD0016) -95.0%Organic Cotton (RM0104)+
5.0%Recycled post-consumer Polyester (RM0189)tablecloth"
AMARINE COUTURE,,France (FR),Garments,Marine DUBON NOGALES,mailto:marine.hpn@gmail.com,"1 route de Cognac, 17100, SAINTES",242206,,Ecocert Greenlife,5/30/2024,"Overcoatsblouses (PD0005) 
Dressesjacketsskirts (PD0011)suit- pants (PD0002)
Shirtsvests (PD0001)
Suits"
Amarjothi spinning Mills Ltd,,"India (IN), Tamil Nadu",Product category (other),Arunkumar senthikumararaj,mailto:arun@amarjothi.net,"Gobi Main Road, Pudusuripalayam, Gobi TK, Erode, 63848, NAMBIYUR",ICEA-TX-3136,,ICEA Istituto per la Certificazione Etica e Ambientale,4/11/2024,Dyed fibers (PC0033)Dyed yarns (PC0029)Undyed fibers (PC0034)Undyed yarns (PC0031)
AMATEX SRL,,Romania (RO),"Babywear, Children's wear, Garments, Accessories",Cornelia Stefan,mailto:office@amatex.ro,"Sanleani 375, 317206, Sanleani",CERES-0371,,Ceres,10/15/2024,
Amazing Export Corporation,,"India (IN), Tamil Nadu","Babywear, Children's wear, Fabrics, Ladieswear, Men's wear, Accessories",,,"SF.NO 105 Valayangadu, P.Vadugapalayam Post, Palladam, 641 664, Tirupur",ICEA-TX-533,,ICEA Istituto per la Certificazione Etica e Ambientale,6/19/2024,"Babies' apparel (PC0003)Carried accessories (PC0011)Children's apparel (PC0004)Men's apparel (PC0001)Printed Fabrics (PC0039)Women's apparel
(PC0002)Worn accessories (PC0012)"
Amazing Fashions Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Fabrics, Men's wear",,,,CGI-700293-GOTS-2023-01,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42200?task=download_certificate,Clean Globe International,6/7/2024,Active wearBabies clothing (PD0013)Carded yarns (PD0067)Knitted fabrics (PD0058)Normally combed yarns (PD0102)OvercoatsPantShirtsSuitsSweatersT-shirtsblouses (PD0005)cardigans (PD0004)jacketspulloverssinglets (PD0007)sportswear (PD0008)suit & pants (PD0002)trousers (PD0003)vests (PD0001)
Amazing Fashions Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Fabrics, Men's wear",,,,CGI-700293,,Clean Globe International,6/7/2024,
Ambal Home Tex,,"India (IN), Tamil Nadu","Accessories, Fabrics, Home Textiles",,,"1/269/C, Naval Nagar 7th Cross, Front Side, Vennaimalai Post,,, 639006, Karur",GCL-302145,,GCL International,1/27/2025,"Home Textiles (PC0010) [Table linen tablecloth napkins (PD0016) 100% Organic Cotton (RM0104)] 
Home Textiles (PC0010) [Towels kitchen linen toilet linen (PD0017) 100% Organic Cotton (RM0104)] 
Worn Accessories (PC0012) [Aprons (PD0100) 100% Organic Cotton (RM0104)] 
Worn Accessories (PC0012) [Gloves mittens hand covering (PD0026) 100% Organic Cotton (RM0104)]
Dyed fabrics (PC0025) [Woven Fabrics (PD0059) 100% Organic Cotton (RM0104)] 
Undyed fabrics (PC0027) [Woven Fabrics (PD0059) 100% Organic cotton (RM0104)] 
Greige fabrics (PC0026) [Woven Fabrics (PD0059) 100% Organic Cotton (RM0104)]"
Ambala Hammocks,,"India (IN), Tamil Nadu","Fabrics, Yarns, Accessories, Home Textiles",,,"R.S. NO.66/4, Isaiambalam, Alankuppam,Pondicherry, 605111, Auroville,",GCL-3533,,GCL International,7/14/2024,"Carried Accessories (PC0011) BagsCushions (PD0023) 100% Organic Cotton (RM0104) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 100% Organic Cotton (RM0104)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 100% Organic Cotton (RM0104)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post
Consumer Polyester (RM0187) 
Greige fabrics (PC0026) Woven Fabrics (PD0059) 100% Organic Cotton (RM0104)
Greige fabrics (PC0026) Woven Fabrics (PD0059) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post Consumer Polyester (RM0187)
Worn Accessories (PC0012) GlovesCushions (PD0023) 100% Organic Kapok (RM0128) Organic
Home Textiles (PC0010) PillowsCushions (PD0023) 90% Organic Kapok (RM0128) + 10% Organic Cotton (RM0104)
Greige fabrics (PC0026) Woven Fabrics (PD0059) 90% Organic kapok (RM0128) + 10% Organic Cotton(RM0104)
Greige fabrics (PC0026) Knitted Fabrics (PD0058) 90% Organic kapok (RM0128) + 10% Organic Cotton (RM0104)Floor Coverings (PD0022) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) PillowsPouches PD0024) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) BlanketsRugsbedspreadscamping goods (PD0042) 100% Organic Cotton (RM0104) 
Outdoor (PC0018) Tentscamping goods (PD0042) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post Consumer Polyester (RM0187)
Dyed Yarns (PC0029) Normally Combed Yarns (PD0102) 100% Organic Cotton (RM0104)
Dyed Yarns (PC0029) Normally Combed Yarns (PD0102) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post Consumer Polyester (RM0187) 
Greige fabrics (PC0026) Knitted Fabrics (PD0058) 70% Organic Cotton (RM0104) + 30% Recycled Pre/post Consumer Polyester (RM0187) 
Home Textiles (PC0010) Cushion Covers (PD0023) 100% Organic Cotton (RM0104) 
Greige Yarns (PC0030) Open End Yarns (PD0066) 100% Organic Cotton (RM0104) 
Home Textiles (PC0010) Table linenhand covering (PD0026) 100% Organic Cotton (RM0104)
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104)
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 70% Organic Cotton (RM0104) + 30% Recycled Pre/post Consumer Polyester (RM0187)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post Consumer Polyester (RM0187) 
Outdoor (PC0018) Tentshandbagsmittensnapkins (PD0016) 100% Organic Cotton (RM0104) 
Greige fabrics (PC0026) Woven Fabrics (PD0059) 80% Organic Cotton (RM0104) + 20% Recycled Pre/Post Consumer Polyester (RM0187)
Home Textiles (PC0010) Pillowsquilts (PD0019) 100% Organic Cotton (RM0104)
Greige Yarns (PC0030) Carded Yarns (PD0067) 100% Organic cotton (RM0104) 
Greige Yarns (PC0030) Normally Combed Yarns (PD0102) 100% Organic Cotton (RM0104)
Home Textiles (PC0010) Carpetssailssailstableclothtotes"
